dataset,language,sent_id,dependency_distance
human,en,en-human-0000001,2
human,en,en-human-0000001,1
human,en,en-human-0000001,1
human,en,en-human-0000001,1
human,en,en-human-0000001,2
human,en,en-human-0000002,1
human,en,en-human-0000002,3
human,en,en-human-0000002,1
human,en,en-human-0000002,1
human,en,en-human-0000002,1
human,en,en-human-0000002,2
human,en,en-human-0000002,1
human,en,en-human-0000002,4
human,en,en-human-0000002,1
human,en,en-human-0000002,2
human,en,en-human-0000002,2
human,en,en-human-0000002,1
human,en,en-human-0000002,3
human,en,en-human-0000002,3
human,en,en-human-0000002,2
human,en,en-human-0000002,1
human,en,en-human-0000002,4
human,en,en-human-0000003,1
human,en,en-human-0000003,1
human,en,en-human-0000003,1
human,en,en-human-0000003,2
human,en,en-human-0000003,5
human,en,en-human-0000003,4
human,en,en-human-0000003,2
human,en,en-human-0000003,1
human,en,en-human-0000003,9
human,en,en-human-0000003,2
human,en,en-human-0000003,1
human,en,en-human-0000003,3
human,en,en-human-0000003,3
human,en,en-human-0000003,2
human,en,en-human-0000003,1
human,en,en-human-0000003,4
human,en,en-human-0000003,2
human,en,en-human-0000003,1
human,en,en-human-0000003,3
human,en,en-human-0000003,1
human,en,en-human-0000003,2
human,en,en-human-0000003,23
human,en,en-human-0000003,1
human,en,en-human-0000003,1
human,en,en-human-0000003,2
human,en,en-human-0000005,2
human,en,en-human-0000005,1
human,en,en-human-0000005,1
human,en,en-human-0000005,1
human,en,en-human-0000005,2
human,en,en-human-0000005,3
human,en,en-human-0000005,5
human,en,en-human-0000005,4
human,en,en-human-0000005,2
human,en,en-human-0000005,1
human,en,en-human-0000005,10
human,en,en-human-0000005,2
human,en,en-human-0000005,1
human,en,en-human-0000005,3
human,en,en-human-0000005,5
human,en,en-human-0000005,1
human,en,en-human-0000005,3
human,en,en-human-0000005,1
human,en,en-human-0000005,2
human,en,en-human-0000005,6
human,en,en-human-0000005,1
human,en,en-human-0000005,2
human,en,en-human-0000005,23
human,en,en-human-0000005,1
human,en,en-human-0000005,1
human,en,en-human-0000005,2
human,en,en-human-0000006,1
human,en,en-human-0000006,7
human,en,en-human-0000006,3
human,en,en-human-0000006,2
human,en,en-human-0000006,4
human,en,en-human-0000006,2
human,en,en-human-0000006,1
human,en,en-human-0000006,7
human,en,en-human-0000006,6
human,en,en-human-0000006,4
human,en,en-human-0000006,2
human,en,en-human-0000006,1
human,en,en-human-0000006,8
human,en,en-human-0000007,3
human,en,en-human-0000007,2
human,en,en-human-0000007,1
human,en,en-human-0000007,1
human,en,en-human-0000007,2
human,en,en-human-0000007,3
human,en,en-human-0000007,1
human,en,en-human-0000007,1
human,en,en-human-0000007,6
human,en,en-human-0000007,2
human,en,en-human-0000007,1
human,en,en-human-0000007,3
human,en,en-human-0000007,2
human,en,en-human-0000007,1
human,en,en-human-0000007,7
human,en,en-human-0000007,5
human,en,en-human-0000007,4
human,en,en-human-0000007,3
human,en,en-human-0000007,2
human,en,en-human-0000007,1
human,en,en-human-0000007,6
human,en,en-human-0000007,1
human,en,en-human-0000007,2
human,en,en-human-0000007,2
human,en,en-human-0000007,1
human,en,en-human-0000007,25
human,en,en-human-0000007,1
human,en,en-human-0000008,2
human,en,en-human-0000008,1
human,en,en-human-0000008,1
human,en,en-human-0000008,3
human,en,en-human-0000008,2
human,en,en-human-0000008,1
human,en,en-human-0000008,4
human,en,en-human-0000008,1
human,en,en-human-0000008,2
human,en,en-human-0000008,2
human,en,en-human-0000008,1
human,en,en-human-0000008,3
human,en,en-human-0000008,1
human,en,en-human-0000008,2
human,en,en-human-0000009,1
human,en,en-human-0000009,1
human,en,en-human-0000009,1
human,en,en-human-0000009,2
human,en,en-human-0000009,1
human,en,en-human-0000009,5
human,en,en-human-0000009,2
human,en,en-human-0000009,1
human,en,en-human-0000009,3
human,en,en-human-0000009,1
human,en,en-human-0000009,2
human,en,en-human-0000009,3
human,en,en-human-0000009,2
human,en,en-human-0000009,1
human,en,en-human-0000009,4
human,en,en-human-0000010,1
human,en,en-human-0000010,2
human,en,en-human-0000010,3
human,en,en-human-0000010,4
human,en,en-human-0000010,5
human,en,en-human-0000010,6
human,en,en-human-0000010,7
human,en,en-human-0000011,3
human,en,en-human-0000011,2
human,en,en-human-0000011,1
human,en,en-human-0000011,5
human,en,en-human-0000011,1
human,en,en-human-0000011,2
human,en,en-human-0000011,1
human,en,en-human-0000011,2
